,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
34,"frozenset({'loan_no', 'pdays_-1'})",frozenset({'default_no'}),0.715575,0.979775,0.70375,0.9834748279355763,1.0037762016132035,0.0026475043750000538,1.223890433403808
35,frozenset({'default_no'}),"frozenset({'loan_no', 'pdays_-1'})",0.979775,0.715575,0.70375,0.718277155469368,1.0037762016132035,0.0026475043750000538,1.009591538357033
36,frozenset({'loan_no'}),"frozenset({'default_no', 'pdays_-1'})",0.82675,0.84635,0.70375,0.8512246749319625,1.005759644274783,0.0040301374999999195,1.0327653455284551
37,frozenset({'pdays_-1'}),"frozenset({'default_no', 'loan_no'})",0.865175,0.814025,0.70375,0.8134192504406622,0.9992558587766496,-0.0005240793749999861,0.9967534187703263
38,"frozenset({'default_no', 'poutcome_unknown'})",frozenset({'loan_no'}),0.84635,0.82675,0.70375,0.8315117859041767,1.005759644274783,0.0040301374999999195,1.0282618338008416
39,"frozenset({'default_no', 'loan_no'})",frozenset({'poutcome_unknown'}),0.814025,0.865175,0.70375,0.8645311876170879,0.9992558587766497,-0.0005240793749999861,0.9952475232373609
40,"frozenset({'loan_no', 'poutcome_unknown'})",frozenset({'default_no'}),0.715575,0.979775,0.70375,0.9834748279355763,1.0037762016132035,0.0026475043750000538,1.223890433403808
41,frozenset({'default_no'}),"frozenset({'loan_no', 'poutcome_unknown'})",0.979775,0.715575,0.70375,0.718277155469368,1.0037762016132035,0.0026475043750000538,1.009591538357033
42,frozenset({'poutcome_unknown'}),"frozenset({'default_no', 'loan_no'})",0.865175,0.814025,0.70375,0.8134192504406622,0.9992558587766496,-0.0005240793749999861,0.9967534187703263
43,frozenset({'loan_no'}),"frozenset({'default_no', 'poutcome_unknown'})",0.82675,0.84635,0.70375,0.8512246749319625,1.005759644274783,0.0040301374999999195,1.0327653455284551
44,"frozenset({'default_no', 'loan_no'})",frozenset({'previous_0'}),0.814025,0.865175,0.70375,0.8645311876170879,0.9992558587766497,-0.0005240793749999861,0.9952475232373609
45,"frozenset({'default_no', 'previous_0'})",frozenset({'loan_no'}),0.84635,0.82675,0.70375,0.8315117859041767,1.005759644274783,0.0040301374999999195,1.0282618338008416
46,"frozenset({'loan_no', 'previous_0'})",frozenset({'default_no'}),0.715575,0.979775,0.70375,0.9834748279355763,1.0037762016132035,0.0026475043750000538,1.223890433403808
47,frozenset({'default_no'}),"frozenset({'loan_no', 'previous_0'})",0.979775,0.715575,0.70375,0.718277155469368,1.0037762016132035,0.0026475043750000538,1.009591538357033
48,frozenset({'loan_no'}),"frozenset({'default_no', 'previous_0'})",0.82675,0.84635,0.70375,0.8512246749319625,1.005759644274783,0.0040301374999999195,1.0327653455284551
49,frozenset({'previous_0'}),"frozenset({'default_no', 'loan_no'})",0.865175,0.814025,0.70375,0.8134192504406622,0.9992558587766496,-0.0005240793749999861,0.9967534187703263
50,"frozenset({'default_no', 'loan_no'})",frozenset({'y_no'}),0.814025,0.9276,0.751975,0.9237738398697828,0.9958752046892873,-0.003114590000000028,0.949805157131345
51,"frozenset({'default_no', 'y_no'})",frozenset({'loan_no'}),0.9086,0.82675,0.751975,0.8276194144838213,1.001051605060564,0.0007899500000000392,1.0050435754189944
52,"frozenset({'loan_no', 'y_no'})",frozenset({'default_no'}),0.76385,0.979775,0.751975,0.9844537540092949,1.004775335162966,0.003573866250000002,1.300957157894731
53,frozenset({'default_no'}),"frozenset({'loan_no', 'y_no'})",0.979775,0.76385,0.751975,0.7674976397642316,1.004775335162966,0.003573866250000002,1.0156886139157153
54,frozenset({'loan_no'}),"frozenset({'default_no', 'y_no'})",0.82675,0.9086,0.751975,0.9095554883580284,1.001051605060564,0.0007899500000000392,1.010564359745904
55,frozenset({'y_no'}),"frozenset({'default_no', 'loan_no'})",0.9276,0.814025,0.751975,0.810667313497197,0.9958752046892871,-0.003114590000000028,0.9822656797153022
